# k               u                 rapidity          phi
+4.539993e-05     +6.123032e-17     +0.000000e+00     +1.034536e+01
+7.371789e-05     +6.135885e-03     +0.000000e+00     +9.860626e+00
+1.196968e-04     +1.227154e-02     +0.000000e+00     +9.375908e+00
+1.943464e-04     +1.840673e-02     +0.000000e+00     +8.891228e+00
+3.155344e-04     +2.454123e-02     +0.000000e+00     +8.406604e+00
+5.122537e-04     +3.067480e-02     +0.000000e+00     +7.922050e+00
+8.315415e-04     +3.680722e-02     +0.000000e+00     +7.437590e+00
+1.349694e-03     +4.293826e-02     +0.000000e+00     +6.953238e+00
+2.190438e-03     +4.906767e-02     +0.000000e+00     +6.469015e+00
+3.554376e-03     +5.519524e-02     +0.000000e+00     +5.984939e+00
+5.766662e-03     +6.132074e-02     +0.000000e+00     +5.501029e+00
+9.354195e-03     +6.744392e-02     +0.000000e+00     +5.017309e+00
+1.517055e-02     +7.356456e-02     +0.000000e+00     +4.533808e+00
+2.459807e-02     +7.968244e-02     +0.000000e+00     +4.050573e+00
+3.987474e-02     +8.579731e-02     +0.000000e+00     +3.567702e+00
+6.462251e-02     +9.190896e-02     +0.000000e+00     +3.085418e+00
+1.047011e-01     +9.801714e-02     +0.000000e+00     +2.604274e+00
+1.695867e-01     +1.041216e-01     +0.000000e+00     +2.125686e+00
+2.745984e-01     +1.102222e-01     +0.000000e+00     +1.653251e+00
+4.444898e-01     +1.163186e-01     +0.000000e+00     +1.195892e+00
+7.192425e-01     +1.224107e-01     +0.000000e+00     +7.739947e-01
+1.163405e+00     +1.284981e-01     +0.000000e+00     +4.253628e-01
+1.881136e+00     +1.345807e-01     +0.000000e+00     +1.910495e-01
+3.040436e+00     +1.406582e-01     +0.000000e+00     +7.160639e-02
+4.912129e+00     +1.467305e-01     +0.000000e+00     +2.463847e-02
+7.932574e+00     +1.527972e-01     +0.000000e+00     +8.647766e-03
+1.280446e+01     +1.588581e-01     +0.000000e+00     +3.168065e-03
+2.065870e+01     +1.649131e-01     +0.000000e+00     +1.191321e-03
+3.331438e+01     +1.709619e-01     +0.000000e+00     +4.537858e-04
+5.369573e+01     +1.770042e-01     +0.000000e+00     +1.739575e-04
+8.650058e+01     +1.830399e-01     +0.000000e+00     +6.691145e-05
+1.392714e+02     +1.890687e-01     +0.000000e+00     +2.579227e-05
+2.241096e+02     +1.950903e-01     +0.000000e+00     +9.957350e-06
+3.604186e+02     +2.011046e-01     +0.000000e+00     +3.849442e-06
+5.792874e+02     +2.071114e-01     +0.000000e+00     +1.490022e-06
+9.304937e+02     +2.131103e-01     +0.000000e+00     +5.774970e-07
+1.493680e+03     +2.191012e-01     +0.000000e+00     +2.241048e-07
+2.396175e+03     +2.250839e-01     +0.000000e+00     +8.708301e-08
+3.841394e+03     +2.310581e-01     +0.000000e+00     +3.388331e-08
+6.154045e+03     +2.370236e-01     +0.000000e+00     +1.320227e-08
+9.852044e+03     +2.429802e-01     +0.000000e+00     +5.151220e-09
+1.576080e+04     +2.489276e-01     +0.000000e+00     +2.012861e-09
+2.519465e+04     +2.548657e-01     +0.000000e+00     +7.876734e-10
+4.024477e+04     +2.607941e-01     +0.000000e+00     +3.087095e-10
+6.423528e+04     +2.667128e-01     +0.000000e+00     +1.211762e-10
+1.024456e+05     +2.726214e-01     +0.000000e+00     +4.764083e-11
+1.632528e+05     +2.785197e-01     +0.000000e+00     +1.876058e-11
+2.599372e+05     +2.844075e-01     +0.000000e+00     +7.399902e-12
+4.135317e+05     +2.902847e-01     +0.000000e+00     +2.923832e-12
+6.573160e+05     +2.961509e-01     +0.000000e+00     +1.157219e-12
+1.043896e+06     +3.020059e-01     +0.000000e+00     +4.588296e-13
+1.656341e+06     +3.078496e-01     +0.000000e+00     +1.822508e-13
+2.625698e+06     +3.136817e-01     +0.000000e+00     +7.252256e-14
+4.158481e+06     +3.195020e-01     +0.000000e+00     +2.891330e-14
+6.579788e+06     +3.253103e-01     +0.000000e+00     +1.154901e-14
+1.040085e+07     +3.311063e-01     +0.000000e+00     +4.621948e-15
+1.642473e+07     +3.368899e-01     +0.000000e+00     +1.853404e-15
+2.591148e+07     +3.426607e-01     +0.000000e+00     +7.447064e-16
+4.083605e+07     +3.484187e-01     +0.000000e+00     +2.998310e-16
+6.429025e+07     +3.541635e-01     +0.000000e+00     +1.209688e-16
+1.011088e+08     +3.598950e-01     +0.000000e+00     +4.890926e-17
+1.588430e+08     +3.656130e-01     +0.000000e+00     +1.981673e-17
+2.492728e+08     +3.713172e-01     +0.000000e+00     +8.046626e-18
+3.907527e+08     +3.770074e-01     +0.000000e+00     +3.274609e-18
+6.118460e+08     +3.826834e-01     +0.000000e+00     +1.335622e-18
+9.569471e+08     +3.883450e-01     +0.000000e+00     +5.460018e-19
+1.494969e+09     +3.939920e-01     +0.000000e+00     +2.237188e-19
+2.332746e+09     +3.996242e-01     +0.000000e+00     +9.188164e-20
+3.635687e+09     +4.052413e-01     +0.000000e+00     +3.782595e-20
+5.659552e+09     +4.108432e-01     +0.000000e+00     +1.560991e-20
+8.799276e+09     +4.164296e-01     +0.000000e+00     +6.457637e-21
+1.366388e+10     +4.220003e-01     +0.000000e+00     +2.678070e-21
+2.119121e+10     +4.275551e-01     +0.000000e+00     +1.113418e-21
+3.282354e+10     +4.330938e-01     +0.000000e+00     +4.640854e-22
+5.077566e+10     +4.386162e-01     +0.000000e+00     +1.939350e-22
+7.844389e+10     +4.441221e-01     +0.000000e+00     +8.125456e-23
+1.210289e+11     +4.496113e-01     +0.000000e+00     +3.413399e-23
+1.864825e+11     +4.550836e-01     +0.000000e+00     +1.437766e-23
+2.869455e+11     +4.605387e-01     +0.000000e+00     +6.072472e-24
